date,close,high,low,open,volume
2023-01-03,1839.70,1839.70,1836.20,1836.20,29.00
2023-01-04,1852.80,1859.10,1845.60,1845.60,25.00
2023-01-05,1834.80,1855.20,1834.80,1855.20,24.00
2023-01-06,1864.20,1868.20,1835.30,1838.40,26.00
2023-01-09,1872.70,1880.00,1867.00,1867.00,62.00
2023-01-10,1871.60,1878.10,1871.60,1877.80,101.00
2023-01-11,1874.60,1877.80,1873.10,1873.10,1236.00
2023-01-12,1895.50,1897.40,1877.20,1877.20,59.00
2023-01-13,1918.40,1920.90,1898.30,1899.00,512.00
2023-01-17,1907.20,1920.10,1905.20,1920.10,706.00
2023-01-18,1904.40,1911.10,1903.10,1911.10,1027.00
2023-01-19,1922.10,1931.80,1922.10,1922.10,371.00
2023-01-20,1926.40,1928.50,1921.40,1922.10,1346.00
2023-01-23,1927.10,1927.10,1915.00,1926.50,218.00
2023-01-24,1933.90,1936.80,1931.80,1931.80,201.00
2023-01-25,1941.20,1941.20,1939.80,1941.20,7.00
2023-01-26,1929.10,1937.10,1927.10,1936.60,131.00
2023-01-27,1928.60,1928.60,1928.60,1928.60,150902.00
2023-01-30,1922.90,1933.60,1920.30,1928.30,27220.00
2023-01-31,1929.50,1930.40,1900.60,1923.00,1910.00
2023-02-01,1927.80,1955.00,1922.00,1927.20,2290.00
2023-02-02,1916.30,1959.10,1911.30,1952.30,748.00
2023-02-03,1862.90,1917.00,1861.50,1912.40,992.00
2023-02-06,1866.20,1880.00,1863.40,1865.60,424.00
2023-02-07,1871.70,1875.70,1868.00,1870.00,297.00
2023-02-08,1877.40,1880.40,1872.10,1872.10,230.00
2023-02-09,1866.20,1884.60,1859.80,1875.30,223.00
2023-02-10,1862.80,1863.50,1852.40,1861.60,27.00
2023-02-13,1851.90,1861.00,1850.00,1859.00,569.00
2023-02-14,1854.00,1862.00,1846.20,1854.10,656.00
2023-02-15,1834.20,1842.00,1828.20,1842.00,368.00
2023-02-16,1842.00,1843.70,1827.20,1838.60,222.00
2023-02-17,1840.40,1842.20,1818.40,1827.40,35.00
2023-02-21,1833.00,1843.00,1833.00,1842.60,862.00
2023-02-22,1832.00,1836.20,1825.10,1835.70,278.00
2023-02-23,1818.00,1827.50,1818.00,1826.40,291.00
2023-02-24,1808.80,1808.80,1808.80,1808.80,404.00
2023-02-27,1817.00,1817.50,1808.90,1811.60,829.00
2023-02-28,1828.90,1830.00,1808.10,1808.10,618.00
